,foliointerno,_id,Usuario.razonSocial,Productos.idLocal,Productos.unidades,Productos.cantidad,Productos.importe,Especificaciones.estructura,Especificaciones.tipo,Especificaciones.calibreECT,Especificaciones.caraExterior,Especificaciones.largo,Especificaciones.ancho,Especificaciones.alto,Especificaciones.tipoUnion,Especificaciones.suaje,Productos.precioUnitario,precios.precioGeneralm2,Especificaciones.longitudLamina,Especificaciones.anchoLamina,areaM2,precioLista
154,24154,5fcb95514124c8597eb6c8c3,LOQUAY. S.A.,CJ42,millares,5.0,30890.0,caja regular,"[5.5, 1.5]",29,kraft,25.2,23.5,19.0,CIP,0,6178.0,13.25,1.0290000000000001,0.865,0.8900850000000001,11.79362625
155,24153,5fcb95854124c8597eb6c8c4,LOQUAY. S.A.,CJ42,millares,5.0,30890.0,caja regular,"[5.5, 1.5]",29,kraft,25.2,23.5,19.0,CIP,0,6178.0,13.25,1.0290000000000001,0.865,0.8900850000000001,11.79362625
156,24152,5fcb95d34124c8597eb6c8c5,LOQUAY. S.A.,CJ61,millares,3.0,16536.0,caja regular,"[5.5, 1.5]",29,kraft,29.0,20.5,16.3,CIP,0,5512.0,13.25,1.045,0.7509999999999999,0.7847949999999998,10.398533749999997
157,24151,5fcb97504124c8597eb6c8c6,LOQUAY. S.A.,CJ60,millares,3.0,16536.0,caja regular,"[5.5, 1.5]",29,kraft,29.0,20.5,16.3,CIP,0,5512.0,13.25,1.045,0.7509999999999999,0.7847949999999998,10.398533749999997
158,1IN-00731,5fcba7404124c8597eb6c8c7,"PLASTONIUM, S.A DE C.V.",6P,millares,2.0,23600.0,caja regular,"[5.5, 1.5]",36,kraft,34.0,34.0,19.2,CIP,0,11800.0,14.64,1.415,1.079,1.526785,22.352132400000002
159,1IN-00735,5fcba82c4124c8597eb6c8c9,"PLASTONIUM, S.A DE C.V.",7P,millares,2.5,19375.0,caja regular,"[5.5, 1.5]",36,kraft,35.2,18.2,16.5,CIP,0,7750.0,14.64,1.1230000000000002,0.7090000000000001,0.7962070000000002,11.656470480000003
160,1IN-00735,5fcba82c4124c8597eb6c8c9,"PLASTONIUM, S.A DE C.V.",1P,millares,2.5,20175.0,caja regular,"[5.5, 1.5]",23,kraft,35.5,18.2,23.4,CIP,0,8070.0,10.85,1.129,0.8469999999999999,0.9562629999999999,10.375453549999998
161,1IN-00748,5fcba9ff4124c8597eb6c8ca,"PLASTONIUM, S.A DE C.V.",2AP,millares,2.5,4475.0,caja regular,"[5.5, 1.5]",38,kraft,36.0,36.0,27.5,CIP,0,1790.0,16.18,1.495,1.285,1.921075,31.0829935
162,1IN-00748,5fcba9ff4124c8597eb6c8ca,"PLASTONIUM, S.A DE C.V.",4P,millares,2.5,24250.0,caja regular,"[5.5, 1.5]",23,kraft,47.0,32.0,22.7,CIP,0,9700.0,10.85,1.635,1.109,1.813215,19.67338275
163,1IN-00748,5fcba9ff4124c8597eb6c8ca,"PLASTONIUM, S.A DE C.V.",6P,millares,4.0,4720.0,caja regular,"[5.5, 1.5]",36,kraft,34.0,34.0,19.2,CIP,0,1180.0,14.64,1.415,1.079,1.526785,22.352132400000002
164,1IN-00748,5fcba9ff4124c8597eb6c8ca,"PLASTONIUM, S.A DE C.V.",3P,millares,4.0,32280.0,caja regular,"[5.5, 1.5]",23,kraft,37.0,33.5,16.9,CIP,0,8070.0,10.85,1.465,1.023,1.4986949999999999,16.26084075
165,1IN-00752,5fcbad074124c8597eb6c8cb,"PLASTONIUM, S.A DE C.V.",6P,millares,4.0,4720.0,caja regular,"[5.5, 1.5]",36,kraft,34.0,34.0,19.2,CIP,0,1180.0,14.64,1.415,1.079,1.526785,22.352132400000002
166,0000001138,5fcbc19d4124c8597eb6c8cc,"Intermuebles Modulares, S.A. de C.V.",CAJAOW1D2D,millares,0.1,10600.0,caja regular,"[5.5, 1.5]",32,kraft,60.0,57.0,200.0,CIP,0,106000.0,14.12,2.395,5.155,12.346225,174.328697
167,0000000031,5fcbc61f4124c8597eb6c8cd,"Intermuebles Modulares, S.A. de C.V.",CAJA35BWBE,millares,1.125,30375.0,suaje,"[5.5, 1.5]",32,kraft,86.3,95.7,0.0,,0,27000.0,14.12,3.695,1.929,7.127655,100.6424886
168,0000000166,5fcbc73d4124c8597eb6c8ce,"Intermuebles Modulares, S.A. de C.V.",CAJA35BWBE,millares,4.0,108000.0,suaje,"[5.5, 1.5]",32,kraft,86.3,95.7,0.0,,0,27000.0,14.12,3.695,1.929,7.127655,100.6424886
169,0000000166,5fcbc73d4124c8597eb6c8ce,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOBS3D,millares,0.4,31600.0,caja regular,"[5.5, 1.5]",32,kraft,54.8,48.0,78.0,CIP,0,79000.0,14.12,2.1109999999999998,2.535,5.351385,75.56155619999998
170,0000000167,5fcbc8fa4124c8597eb6c8cf,"Intermuebles Modulares, S.A. de C.V.",CAJA35BWBE,millares,7.0,189000.0,suaje,"[5.5, 1.5]",32,kraft,86.3,95.7,0.0,,0,27000.0,14.12,3.695,1.929,7.127655,100.6424886
171,0000000167,5fcbc8fa4124c8597eb6c8cf,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOBS3D,millares,0.5,39500.0,caja regular,"[5.5, 1.5]",32,kraft,54.8,48.0,78.0,CIP,0,79000.0,14.12,2.1109999999999998,2.535,5.351385,75.56155619999998
172,0000000167,5fcbc8fa4124c8597eb6c8cf,"Intermuebles Modulares, S.A. de C.V.",CAJAOC3D,millares,0.2,18600.0,caja regular,"[5.5, 1.5]",32,kraft,74.8,48.0,78.0,CIP,0,93000.0,14.12,2.511,2.535,6.365385000000001,89.87923620000001
173,0000000167,5fcbc8fa4124c8597eb6c8cf,"Intermuebles Modulares, S.A. de C.V.",CAJA-NOC4D,millares,0.2,21000.0,caja regular,"[5.5, 1.5]",32,kraft,74.8,48.0,97.0,CIP,0,105000.0,14.12,2.511,2.915,7.319565000000001,103.3522578
174,24150,5fcbd5aa4124c8597eb6c8d1,LOQUAY. S.A.,CJ98,millares,2.5,12115.0,caja regular,"[5.5, 1.5]",29,kraft,32.3,18.5,13.3,CIP,0,4846.0,13.25,1.071,0.6509999999999999,0.6972209999999999,9.238178249999999
175,24147,5fcbd6604124c8597eb6c8d2,LOQUAY. S.A.,CJ85,millares,3.0,11232.0,caja regular,"[5.5, 1.5]",29,kraft,19.6,15.0,20.0,CIP,0,3744.0,13.25,0.747,0.715,0.5341049999999999,7.076891249999999
176,24146,5fcbd6894124c8597eb6c8d3,LOQUAY. S.A.,CJ85,millares,3.0,11232.0,caja regular,"[5.5, 1.5]",29,kraft,19.6,15.0,20.0,CIP,0,3744.0,13.25,0.747,0.715,0.5341049999999999,7.076891249999999
177,24145,5fcbd6bd4124c8597eb6c8d4,LOQUAY. S.A.,CJ249,millares,3.0,30264.0,caja regular,"[5.5, 1.5]",36,kraft,32.8,25.0,25.3,CIG,0,10088.0,14.64,1.2109999999999999,1.021,1.2364309999999998,18.101349839999997
178,24144,5fcbd7034124c8597eb6c8d5,LOQUAY. S.A.,CJ67,millares,3.0,12573.0,caja regular,"[7, 2.7]",29,kraft,26.3,17.8,13.2,CIP,0,4191.0,13.25,0.9520000000000001,0.647,0.615944,8.161258
179,24143,5fcbd7344124c8597eb6c8d6,LOQUAY. S.A.,CJ67,millares,3.0,12573.0,caja regular,"[7, 2.7]",29,kraft,26.3,17.8,13.2,CIP,0,4191.0,13.25,0.9520000000000001,0.647,0.615944,8.161258
180,24155,5fcbd7884124c8597eb6c8d7,LOQUAY. S.A.,CJ247,millares,2.0,27664.0,caja en dos piezas,"[7, 2.7]",32,kraft,44.3,32.0,14.5,CIP,0,13832.0,,1.5959999999999999,0.9570000000000001,1.527372,
181,24141,5fcbd8574124c8597eb6c8d8,LOQUAY. S.A.,CJ07,millares,2.5,35282.5,caja regular,"[5.5, 1.5]",32,kraft,33.8,30.8,30.0,CIG,0,14113.0,14.12,1.347,1.2309999999999999,1.6581569999999999,23.41317684
182,24160,5fcbd89d4124c8597eb6c8d9,LOQUAY. S.A.,CJ05,millares,3.5,42042.0,caja regular,"[5.5, 1.5]",36,kraft,30.5,30.5,27.0,CIG,0,12012.0,14.64,1.275,1.165,1.485375,21.74589
183,24148,5fcbd8f14124c8597eb6c8da,LOQUAY. S.A.,CJ186,millares,3.0,9267.0,caja regular,"[5.5, 1.5]",29,kraft,19.0,12.7,18.6,CIP,0,3089.0,13.25,0.6890000000000001,0.6409999999999999,0.44164899999999996,5.851849249999999
184,24149,5fcbd9794124c8597eb6c8db,LOQUAY. S.A.,CJ227,millares,2.0,10108.0,caja regular,"[5.5, 1.5]",29,kraft,34.0,18.2,14.7,CIG,0,5054.0,13.25,1.099,0.6729999999999999,0.7396269999999999,9.800057749999999
185,23376,5fcbda734124c8597eb6c8dc,LOQUAY. S.A.,CJ04,millares,2.5,25220.0,caja regular,"[5.5, 1.5]",36,kraft,32.3,24.5,27.5,CIP,0,10088.0,14.64,1.1909999999999998,1.055,1.2565049999999998,18.395233199999996
186,23377,5fcbdabf4124c8597eb6c8dd,LOQUAY. S.A.,CJ05,millares,3.5,42042.0,caja regular,"[5.5, 1.5]",36,kraft,30.5,30.5,27.0,CIG,0,12012.0,14.64,1.275,1.165,1.485375,21.74589
187,23378,5fcbdb324124c8597eb6c8de,LOQUAY. S.A.,CJ07,millares,2.5,35282.5,caja regular,"[5.5, 1.5]",32,kraft,33.8,30.8,30.0,CIG,0,14113.0,14.12,1.347,1.2309999999999999,1.6581569999999999,23.41317684
188,23379,5fcbdb584124c8597eb6c8df,LOQUAY. S.A.,CJ08,millares,2.5,14612.5,caja regular,"[5.5, 1.5]",29,kraft,28.0,21.2,18.5,CIP,0,5845.0,13.25,1.0390000000000001,0.809,0.8405510000000002,11.137300750000001
189,23380,5fcbdbe94124c8597eb6c8e0,LOQUAY. S.A.,CJ09,millares,2.5,33357.5,caja regular,"[5.5, 1.5]",36,kraft,48.3,33.5,14.5,CIG,0,13343.0,14.64,1.6909999999999998,0.975,1.6487249999999998,24.137334
190,23381,5fcbdc144124c8597eb6c8e1,LOQUAY. S.A.,CJ67,millares,7.0,29337.0,caja regular,"[7, 2.7]",29,kraft,26.3,17.8,13.2,CIP,0,4191.0,13.25,0.9520000000000001,0.647,0.615944,8.161258
191,23382,5fcbdc4e4124c8597eb6c8e2,LOQUAY. S.A.,CJ85,millares,3.5,13104.0,caja regular,"[5.5, 1.5]",29,kraft,19.6,15.0,20.0,CIP,0,3744.0,13.25,0.747,0.715,0.5341049999999999,7.076891249999999
192,23383,5fcbdc7e4124c8597eb6c8e3,LOQUAY. S.A.,CJ247,millares,2.0,27664.0,caja en dos piezas,"[7, 2.7]",32,kraft,44.3,32.0,14.5,CIP,0,13832.0,,1.5959999999999999,0.9570000000000001,1.527372,
193,23526,5fcbddbb4124c8597eb6c8e4,LOQUAY. S.A.,CJ90,millares,3.0,8268.0,caja regular,"[5.5, 1.5]",29,kraft,20.0,10.4,18.5,CIP,0,2756.0,13.25,0.6629999999999999,0.593,0.3931589999999999,5.209356749999999
194,23527,5fcbddde4124c8597eb6c8e5,LOQUAY. S.A.,CJ65,millares,3.0,8268.0,caja regular,"[5.5, 1.5]",29,kraft,20.0,10.4,18.5,CIP,0,2756.0,13.25,0.6629999999999999,0.593,0.3931589999999999,5.209356749999999
195,23531,5fcbde1d4124c8597eb6c8e6,LOQUAY. S.A.,CJ60,millares,3.0,16536.0,caja regular,"[5.5, 1.5]",29,kraft,29.0,20.5,16.3,CIP,0,5512.0,13.25,1.045,0.7509999999999999,0.7847949999999998,10.398533749999997
